"Functional.groups"	"Thershold.determined"
"IGHV1-18G1"	TRUE
"IGHV1-2G2"	TRUE
"IGHV1-24G3"	FALSE
"IGHV1-3G4"	FALSE
"IGHV1-45G5"	FALSE
"IGHV1-46G6"	FALSE
"IGHV1-58G7"	FALSE
"IGHV1-69G8"	FALSE
"IGHV1-69-2G9"	FALSE
"IGHV1-8G10"	FALSE
"IGHV2-26G11"	FALSE
"IGHV2-5G12"	FALSE
"IGHV2-70G13"	FALSE
"IGHV3-11G14"	FALSE
"IGHV3-13G15"	FALSE
"IGHV3-15G16"	FALSE
"IGHV3-20G17"	FALSE
"IGHV3-21G18"	FALSE
"IGHV3-23G19"	FALSE
"IGHV3-30G20"	FALSE
"IGHV3-35G21"	FALSE
"IGHV3-43G22"	FALSE
"IGHV3-48G23"	FALSE
"IGHV3-49G24"	FALSE
"IGHV3-53G25"	FALSE
"IGHV3-62G26"	FALSE
"IGHV3-64G27"	FALSE
"IGHV3-7G28"	FALSE
"IGHV3-72G29"	FALSE
"IGHV3-73G30"	FALSE
"IGHV3-74G31"	FALSE
"IGHV3-9G32"	FALSE
"IGHV4-28G33"	FALSE
"IGHV4-30-2G34"	FALSE
"IGHV4-30-4G35"	FALSE
"IGHV4-34G36"	FALSE
"IGHV4-34G37"	FALSE
"IGHV4-34G38"	FALSE
"IGHV4-38-2G39"	FALSE
"IGHV4-4G40"	FALSE
"IGHV4-4G41"	FALSE
"IGHV4-59G42"	FALSE
"IGHV4-59G43"	FALSE
"IGHV4-61G44"	FALSE
"IGHV5-10-1G45"	FALSE
"IGHV5-51G46"	FALSE
"IGHV6-1G47"	FALSE
"IGHV7-4-1G48"	FALSE
